Year,Rank,Player,Team,Salary
2015,119,Andrew Wiggins,Minnesota Timberwolves,5510640
2015,120,Greg Monroe,Detroit Pistons,5479934
2015,121,Jamal Crawford,LA Clippers,5450000
2015,122,Courtney Lee,Memphis Grizzlies,5450000
2015,123,Lou Williams,Toronto Raptors,5450000
2015,124,JJ Hickson,Denver Nuggets,5381750
2015,125,Martell Webster,Washington Wizards,5381750
2015,126,Chris Andersen,Miami Heat,5375000
2015,127,Nikola Mirotic,Chicago Bulls,5305000
2015,128,Spencer Hawes,LA Clippers,5305000
2015,129,Paul Pierce,Washington Wizards,5305000
2015,130,Shaun Livingston,Golden State Warriors,5305000
2015,131,Josh McRoberts,Miami Heat,5305000
2015,132,Keith Bogans,Philadelphia 76ers,5285817
2015,133,Zaza Pachulia,Milwaukee Bucks,5200000
2015,134,Tristan Thompson,Cleveland Cavaliers,5138430
2015,135,Michael Kidd-Gilchrist,Charlotte Hornets,5016960
2015,136,Chase Budinger,Minnesota Timberwolves,5000000
2015,137,Trevor Booker,Utah Jazz,5000000
2015,138,Brandan Wright,Phoenix Suns,5000000
2015,139,Nick Young,Los Angeles Lakers,4994420
2015,140,Victor Oladipo,Orlando Magic,4978200
2015,141,Jabari Parker,Milwaukee Bucks,4930560
2015,142,Luis Scola,Indiana Pacers,4868499
2015,143,Tony Allen,Memphis Grizzlies,4831461
2015,144,Chris Kaman,Portland Trail Blazers,4800000
2015,145,Darren Collison,Sacramento Kings,4797664
2015,146,Kostas Papanikolaou,Houston Rockets,4797664
2015,147,Corey Brewer,Houston Rockets,4702500
2015,148,Ricky Rubio,Minnesota Timberwolves,4660479
2015,149,Andre Miller,Sacramento Kings,4650000
2015,150,Timofey Mozgov,Cleveland Cavaliers,4650000
2015,151,Bradley Beal,Washington Wizards,4505280
2015,152,Caron Butler,Detroit Pistons,4500000
2015,153,Jonas Jerebko,Boston Celtics,4500000
2015,154,Ben Gordon,Orlando Magic,4500000
2015,155,Otto Porter Jr.,Washington Wizards,4470480
2015,156,Joel Embiid,Philadelphia 76ers,4427640
2015,157,Luc Mbah a Moute,Philadelphia 76ers,4382576
2015,158,Kris Humphries,Washington Wizards,4250000
2015,159,Jared Dudley,Milwaukee Bucks,4250000
2015,160,CJ Miles,Indiana Pacers,4205000
2015,161,Thabo Sefolosha,Atlanta Hawks,4150000
2015,162,Dion Waiters,Oklahoma City Thunder,4062000
2015,163,Samuel Dalembert,New York Knicks,4051527
2015,164,Cody Zeller,Charlotte Hornets,4030560
2015,165,Danny Green,San Antonio Spurs,4025000
2015,166,Ian Mahinmi,Indiana Pacers,4000000
2015,167,Mario Chalmers,Miami Heat,4000000
2015,168,Aaron Gordon,Orlando Magic,3992040
2015,169,Mo Williams,Charlotte Hornets,3965074
2015,170,Vince Carter,Memphis Grizzlies,3911981
2015,171,Kevin Seraphin,Washington Wizards,3898692
2015,172,Devin Harris,Dallas Mavericks,3878896
2015,173,Bismack Biyombo,Charlotte Hornets,3873398
2015,174,Patty Mills,San Antonio Spurs,3842105
2015,175,Raymond Felton,Dallas Mavericks,3793693
2015,176,Jonas Valanciunas,Toronto Raptors,3678360
2015,177,Thomas Robinson,Philadelphia 76ers,3678360
2015,178,Marreese Speights,Golden State Warriors,3657500
2015,179,Alex Len,Phoenix Suns,3649920
2015,180,Dante Exum,Utah Jazz,3615000
2015,181,Brandon Knight,Phoenix Suns,3553917
2015,182,Gerald Green,Phoenix Suns,3500000
2015,183,Darrell Arthur,Denver Nuggets,3457149
2015,184,Steve Novak,Oklahoma City Thunder,3445947
2015,185,Matt Barnes,LA Clippers,3396250
2015,186,Mirza Teletovic,Brooklyn Nets,3368100
2015,187,Damian Lillard,Portland Trail Blazers,3340920
2015,188,Mike Scott,Atlanta Hawks,3333333
2015,189,Tyler Hansbrough,Toronto Raptors,3326235
2015,190,Andrei Kirilenko,Brooklyn Nets,3326235
2015,191,Mike Dunleavy,Chicago Bulls,3326235
2015,192,Nerlens Noel,Philadelphia 76ers,3315120
2015,193,Marcus Smart,Boston Celtics,3283320
2015,194,Alexey Shved,New York Knicks,3282056
2015,195,Bojan Bogdanovic,Brooklyn Nets,3278000
2015,196,Evan Turner,Boston Celtics,3278000
2015,197,Jason Smith,New York Knicks,3278000
2015,198,Kemba Walker,Charlotte Hornets,3272091
2015,199,Carlos Boozer,Los Angeles Lakers,3251000
2015,200,Carlos Delfino,LA Clippers,3250000
2015,201,Gary Neal,Minnesota Timberwolves,3250000
2015,202,Anthony Morrow,Oklahoma City Thunder,3200000
2015,203,Dorell Wright,Portland Trail Blazers,3150000
2015,204,Quincy Pondexter,New Orleans Pelicans,3146068
2015,205,Chris Copeland,Indiana Pacers,3135000
2015,206,Klay Thompson,Golden State Warriors,3075880
2015,207,Harrison Barnes,Golden State Warriors,3049920
2015,208,Alec Burks,Utah Jazz,3034356
2015,209,Ben McLemore,Sacramento Kings,3026280
2015,210,Joel Freeland,Portland Trail Blazers,3013512
2015,211,Kosta Koufos,Memphis Grizzlies,3000000
2015,212,Travis Outlaw,Philadelphia 76ers,3000000
2015,213,Randy Foye,Denver Nuggets,3000000
2015,214,Jerryd Bayless,Milwaukee Bucks,3000000
2015,215,D.J. Augustin,Oklahoma City Thunder,3000000
2015,216,Anthony Tolliver,Detroit Pistons,3000000
2015,217,Julius Randle,Los Angeles Lakers,2997360
2015,218,Markieff Morris,Phoenix Suns,2989239
2015,219,Furkan Aldemir,Philadelphia 76ers,2963232
2015,220,Marcus Morris Sr.,Phoenix Suns,2943221
2015,221,Will Bynum,Washington Wizards,2915908
2015,222,Kawhi Leonard,San Antonio Spurs,2894059
2015,223,Marco Belinelli,San Antonio Spurs,2873750
2015,224,Terrence Ross,Toronto Raptors,2793960
2015,225,Kentavious Caldwell-Pope,Detroit Pistons,2772480
2015,226,Nikola Vucevic,Orlando Magic,2751260
2015,227,Luke Ridnour,Orlando Magic,2750000
2015,228,Nik Stauskas,Sacramento Kings,2745840
2015,229,Brian Roberts,Charlotte Hornets,2732000
2015,230,Udonis Haslem,Miami Heat,2732000
2015,231,Jameer Nelson,Denver Nuggets,2732000
2015,232,Mike Miller,Cleveland Cavaliers,2732000
2015,233,Kirk Hinrich,Chicago Bulls,2732000
2015,234,Iman Shumpert,Cleveland Cavaliers,2616975
2015,235,Andre Drummond,Detroit Pistons,2568360
2015,236,Trey Burke,Utah Jazz,2548560
2015,237,Noah Vonleh,Charlotte Hornets,2524200
2015,238,James Johnson,Toronto Raptors,2500000
2015,239,DeMarre Carroll,Atlanta Hawks,2442455
2015,240,Austin Rivers,LA Clippers,2439840
2015,241,Shelvin Mack,Atlanta Hawks,2433333
2015,242,CJ McCollum,Portland Trail Blazers,2421000
2015,243,Tobias Harris,Orlando Magic,2380594
2015,244,Meyers Leonard,Portland Trail Blazers,2317920
2015,245,Michael Carter-Williams,Milwaukee Bucks,2300040
2015,246,Doug McDermott,Chicago Bulls,2277960
2015,247,Kenneth Faried,Denver Nuggets,2249768
2015,248,Nick Collison,Oklahoma City Thunder,2242003
2015,249,Brendan Haywood,Cleveland Cavaliers,2213668
2015,250,Reggie Jackson,Detroit Pistons,2204369
2015,251,Jeremy Lamb,Oklahoma City Thunder,2202000
2015,252,Steven Adams,Oklahoma City Thunder,2184960
2015,253,Vitor Faverani,Boston Celtics,2090000
2015,254,Aron Baynes,San Antonio Spurs,2077000
2015,255,Ramon Sessions,Washington Wizards,2077000
2015,256,Jordan Farmar,LA Clippers,2077000
2015,257,C.J. Watson,Indiana Pacers,2077000
2015,258,Danny Granger,Miami Heat,2077000
2015,259,Beno Udrih,Memphis Grizzlies,2077000
2015,260,Steve Blake,Portland Trail Blazers,2077000
2015,261,Josh Smith,Houston Rockets,2077000
2015,262,Kelly Olynyk,Boston Celtics,2075760
2015,263,Zach LaVine,Minnesota Timberwolves,2055840
2015,264,Cory Joseph,San Antonio Spurs,2023261
2015,265,Jimmy Butler III,Chicago Bulls,2008748
2015,266,Kent Bazemore,Atlanta Hawks,2000000
2015,267,DeJuan Blair,Washington Wizards,2000000
2015,268,John Salmons,New Orleans Pelicans,2000000
2015,269,Elton Brand,Atlanta Hawks,2000000
2015,270,John Henson,Milwaukee Bucks,1987320
2015,271,Shabazz Muhammad,Minnesota Timberwolves,1971960
2015,272,T.J. Warren,Phoenix Suns,1953120
2015,273,Maurice Harkless,Orlando Magic,1887840
2015,274,Giannis Antetokounmpo,Milwaukee Bucks,1873200
2015,275,Adreian Payne,Minnesota Timberwolves,1855320
2015,276,Jeff Ayres,San Antonio Spurs,1828750
2015,277,Anthony Randolph,Madrid Real Madrid,1825359
2015,278,Jeremy Evans,Utah Jazz,1794871
2015,279,Joffrey Lauvergne,Denver Nuggets,1790281
2015,280,Reggie Evans,Sacramento Kings,1768653
2015,281,Lucas Nogueira,Toronto Raptors,1762680
2015,282,Jusuf Nurkic,Denver Nuggets,1762680
2015,283,Luigi Datome,Boston Celtics,1750000
2015,284,Zoran Dragic,Miami Heat,1706225
2015,285,Tyler Zeller,Boston Celtics,1703760
2015,286,Dennis Schroder,Atlanta Hawks,1690680
2015,287,James Young,Boston Celtics,1674480
2015,288,Pablo Prigioni,Houston Rockets,1662961
2015,289,Ryan Kelly,Los Angeles Lakers,1650000
2015,290,Shane Larkin,New York Knicks,1606080
2015,291,Tyler Ennis,Milwaukee Bucks,1590720
2015,292,Sergey Karasev,Brooklyn Nets,1533840
2015,293,Gary Harris,Denver Nuggets,1519200
2015,294,Ronny Turiaf,Minnesota Timberwolves,1500000
2015,295,Miroslav Raduljica,Minnesota Timberwolves,1500000
2015,296,Evan Fournier,Orlando Magic,1483920
2015,297,Tony Snell,Chicago Bulls,1472400
2015,298,Scotty Hopson,Oklahoma City Thunder,1450878
2015,299,Willie Green,Orlando Magic,1448490
2015,300,Lamar Odom,New York Knicks,1448490
2015,301,Mike James,Chicago Bulls,1448490
2015,302,Jared Sullinger,Boston Celtics,1424520
2015,303,Gorgui Dieng,Minnesota Timberwolves,1413480
2015,304,Mitch McGary,Oklahoma City Thunder,1400040
2015,305,Victor Claver,Portland Trail Blazers,1370000
2015,306,Mason Plumlee,Brooklyn Nets,1357080
2015,307,Jordan Adams,Memphis Grizzlies,1344120
2015,308,Melvin Ely,Washington Wizards,1316809
2015,309,John Jenkins,Atlanta Hawks,1312920
2015,310,Josh Powell,Milwaukee Bucks,1310286
2015,311,Ronnie Brewer,Chicago Bulls,1310286
2015,312,Solomon Hill,Indiana Pacers,1302840
2015,313,Rodney Hood,Utah Jazz,1290360
2015,314,Alan Anderson,Brooklyn Nets,1276061
2015,315,Tim Hardaway Jr.,New York Knicks,1250640
2015,316,Hasheem Thabeet,Detroit Pistons,1250000
2015,317,Pero Antic,Atlanta Hawks,1250000
2015,318,Shabazz Napier,Miami Heat,1238640
2015,319,Shawne Williams,Detroit Pistons,1227985
2015,320,Aaron Gray,Detroit Pistons,1227985
2015,321,Shavlik Randolph,Boston Celtics,1227985
2015,322,Tony Wroten,Philadelphia 76ers,1210080
2015,323,Reggie Bullock Jr.,Phoenix Suns,1200720
2015,324,Clint Capela,Houston Rockets,1189200
2015,325,Miles Plumlee,Milwaukee Bucks,1169880
2015,326,Andre Roberson,Oklahoma City Thunder,1160880
2015,327,P.J. Hairston,Charlotte Hornets,1149720
2015,328,Hilton Armstrong,Golden State Warriors,1145685
2015,329,Cartier Martin,Detroit Pistons,1145685
2015,330,Arnett Moultrie,New York Knicks,1136160
2015,331,Perry Jones,Oklahoma City Thunder,1129200
2015,332,Rudy Gobert,Utah Jazz,1127400
2015,333,Marquis Teague,Memphis Grizzlies,1120920
2015,334,Festus Ezeli,Golden State Warriors,1112880
2015,335,Archie Goodwin,Phoenix Suns,1112280
2015,336,CJ Wilcox,LA Clippers,1109760
2015,337,Nemanja Nedovic,Golden State Warriors,1104240
2015,338,Damjan Rudez,Indiana Pacers,1100000
2015,339,Kyle Anderson,San Antonio Spurs,1093680
2015,340,Kyle Singler,Oklahoma City Thunder,1090000
2015,341,Xavier Henry,Los Angeles Lakers,1082000
2015,342,Robert Covington,Philadelphia 76ers,1000000
2015,343,Garrett Temple,Washington Wizards,981084
2015,344,Luke Babbitt,New Orleans Pelicans,981084
2015,345,Ed Davis,Los Angeles Lakers,981084
2015,346,Alexis Ajinca,New Orleans Pelicans,981084
2015,347,Al-Farouq Aminu,Dallas Mavericks,981084
2015,348,Jon Leuer,Memphis Grizzlies,967500
2015,349,Josh Harrellson,Washington Wizards,948163
2015,350,E'Twaun Moore,Chicago Bulls,948163
2015,351,Greg Smith,Dallas Mavericks,948163
2015,352,Jeremy Tyler,Houston Rockets,948163
2015,353,Donald Sloan,Indiana Pacers,948163
2015,354,Joey Dorsey,Houston Rockets,948163
2015,355,Jeffery Taylor,Charlotte Hornets,915243
2015,356,Jason Maxiell,Charlotte Hornets,915243
2015,357,Jannero Pargo,Charlotte Hornets,915243
2015,358,Omri Casspi,Sacramento Kings,915243
2015,359,Ryan Hollins,Sacramento Kings,915243
2015,360,Will Barton,Denver Nuggets,915243
2015,361,Lavoy Allen,Indiana Pacers,915243
2015,362,Wesley Johnson,Los Angeles Lakers,915243
2015,363,Drew Gooden,Washington Wizards,915243
2015,364,Henry Sims,Philadelphia 76ers,915243
2015,365,Ekpe Udoh,LA Clippers,915243
2015,366,Darius Miller,New Orleans Pelicans,915243
2015,367,Chris Wright,Oklahoma City Thunder,915243
2015,368,Sebastian Telfair,Oklahoma City Thunder,915243
2015,369,Nazr Mohammed,Chicago Bulls,915243
2015,370,Matt Bonner,San Antonio Spurs,915243
2015,371,Diante Garrett,Portland Trail Blazers,915243
2015,372,Greg Stiemsma,Toronto Raptors,915243
2015,373,Quincy Acy,New York Knicks,915243
2015,374,Jimmer Fredette,New Orleans Pelicans,915243
2015,375,Ronnie Price,Los Angeles Lakers,915243
2015,376,Leandro Barbosa,Golden State Warriors,915243
2015,377,Kyle O'Quinn,Orlando Magic,915243
2015,378,Jarvis Varnado,Philadelphia 76ers,915243
2015,379,Kyrylo Fesenko,Minnesota Timberwolves,915243
2015,380,Aaron Brooks,Chicago Bulls,915243
2015,381,Rasual Butler,Washington Wizards,915243
2015,382,Khris Middleton,Milwaukee Bucks,915243
2015,383,Kendall Marshall,Milwaukee Bucks,915243
2015,384,Jae Crowder,Boston Celtics,915243
2015,385,Patrick Beverley,Houston Rockets,915243
2015,386,Shannon Brown,Miami Heat,915243
2015,387,Wayne Ellington,Los Angeles Lakers,915243
2015,388,Glen Davis,LA Clippers,915243
